Date,Time,Open,High,Low,Close,Volume
20090417,00:00:00,12.189,12.286,11.634,11.866,9925
20090419,00:00:00,11.749,11.926,11.654,11.858,715
20090420,00:00:00,11.784,12.169,11.639,11.989,11208
20090421,00:00:00,11.991,12.237,11.765,11.954,10474
20090422,00:00:00,11.963,12.447,11.838,12.383,10968
20090423,00:00:00,12.333,12.857,12.155,12.707,11014
20090424,00:00:00,12.672,12.945,12.528,12.852,10083
20090426,00:00:00,12.749,13.223,12.692,13.134,1009
20090427,00:00:00,13.149,13.201,12.633,12.860,10543
20090428,00:00:00,12.862,12.932,12.155,12.340,10667
20090429,00:00:00,12.398,12.845,12.229,12.569,10645
20090430,00:00:00,12.616,12.853,12.016,12.234,10121
20090501,00:00:00,12.313,12.630,11.900,12.470,8413
20090503,00:00:00,12.421,12.525,12.285,12.458,527
20090504,00:00:00,12.418,13.125,12.263,13.014,10445
20090505,00:00:00,12.984,13.594,12.811,13.272,10879
20090506,00:00:00,13.231,13.834,13.106,13.575,10797
20090507,00:00:00,13.564,14.128,13.472,13.764,10990
20090508,00:00:00,13.749,14.026,13.588,13.869,9935
20090510,00:00:00,13.889,14.038,13.794,13.914,773
20090511,00:00:00,13.894,14.054,13.552,13.798,10559
20090512,00:00:00,13.798,14.371,13.685,14.194,10799
20090513,00:00:00,14.118,14.373,13.746,13.891,10953
20090514,00:00:00,13.858,14.096,13.560,14.000,10427
20090515,00:00:00,13.908,14.165,13.690,13.838,9865
20090517,00:00:00,13.839,13.971,13.708,13.907,673
20090518,00:00:00,13.863,14.090,13.495,13.730,11235
20090519,00:00:00,13.751,14.315,13.574,14.121,11206
20090520,00:00:00,14.126,14.388,13.896,14.221,10979
20090521,00:00:00,14.124,14.556,13.932,14.471,11667
20090522,00:00:00,14.408,14.821,14.233,14.603,9905
20090524,00:00:00,14.617,14.772,14.481,14.694,833
20090525,00:00:00,14.707,14.773,14.380,14.514,9415
20090526,00:00:00,14.631,14.727,14.139,14.496,11167
20090527,00:00:00,14.422,15.008,14.267,14.636,11407
20090528,00:00:00,14.592,15.271,14.436,15.156,11067
20090529,00:00:00,15.102,15.722,14.953,15.680,10599
20090531,00:00:00,15.727,15.793,15.482,15.635,989
20090601,00:00:00,15.639,15.973,15.330,15.423,11739
20090602,00:00:00,15.412,16.014,15.286,15.935,11038
20090603,00:00:00,15.880,16.224,15.085,15.343,11728
20090604,00:00:00,15.335,15.985,14.925,15.840,11341
20090605,00:00:00,15.831,15.959,15.019,15.122,10615
20090607,00:00:00,15.158,15.414,15.055,15.295,1118
20090608,00:00:00,15.295,15.502,14.589,14.928,11236
20090609,00:00:00,14.979,15.313,14.616,15.146,11651
20090610,00:00:00,15.226,15.542,14.863,15.123,11272
20090611,00:00:00,15.218,15.521,14.802,15.364,11376
20090612,00:00:00,15.404,15.471,14.640,14.755,10334
20090614,00:00:00,14.777,14.868,14.449,14.636,944
20090615,00:00:00,14.651,14.769,13.878,14.002,10670
20090616,00:00:00,14.165,14.431,13.908,14.120,11519
20090617,00:00:00,14.018,14.410,13.798,14.373,11282
20090618,00:00:00,14.369,14.415,13.983,14.116,11319
20090619,00:00:00,14.221,14.400,13.963,14.203,10232
20090621,00:00:00,14.177,14.209,13.873,14.063,969
20090622,00:00:00,14.062,14.163,13.504,13.756,10935
20090623,00:00:00,13.722,13.954,13.420,13.842,11303
20090624,00:00:00,13.783,14.143,13.609,13.868,11085
20090625,00:00:00,13.808,14.111,13.636,14.034,11464
20090626,00:00:00,14.037,14.358,13.871,13.912,9844
20090628,00:00:00,13.966,14.207,13.744,13.846,1090
20090629,00:00:00,13.943,14.136,13.658,13.821,11031
20090630,00:00:00,13.848,14.142,13.359,13.635,10668
20090701,00:00:00,13.639,13.881,13.391,13.727,10824
20090702,00:00:00,13.767,13.810,13.164,13.361,10829
20090703,00:00:00,13.345,13.535,13.172,13.351,8050
20090705,00:00:00,13.377,13.451,13.142,13.281,910
20090706,00:00:00,13.345,13.426,12.854,13.282,10821
20090707,00:00:00,13.250,13.389,12.886,13.020,10986
20090708,00:00:00,13.035,13.169,12.604,12.682,11025
20090709,00:00:00,12.786,12.989,12.600,12.766,10969
20090710,00:00:00,12.821,12.953,12.346,12.633,9919
20090712,00:00:00,12.647,12.691,12.453,12.691,927
20090713,00:00:00,12.675,12.883,12.299,12.804,10910
20090714,00:00:00,12.784,13.015,12.622,12.868,10615
20090715,00:00:00,12.864,13.373,12.749,13.264,10894
20090716,00:00:00,13.259,13.349,12.994,13.269,10586
20090717,00:00:00,13.270,13.460,12.929,13.267,8950
20090719,00:00:00,13.367,13.470,13.218,13.392,864
20090720,00:00:00,13.408,13.753,13.233,13.601,10647
20090721,00:00:00,13.581,13.717,13.280,13.474,10870
20090722,00:00:00,13.441,13.758,13.199,13.661,10967
20090723,00:00:00,13.621,13.874,13.459,13.710,11705
20090724,00:00:00,13.655,13.946,13.481,13.825,9938
20090726,00:00:00,13.847,13.899,13.638,13.806,948
20090727,00:00:00,13.784,14.108,13.578,14.005,11127
20090728,00:00:00,13.998,14.105,13.445,13.631,10952
20090729,00:00:00,13.631,13.793,13.015,13.230,10968
20090730,00:00:00,13.298,13.577,13.081,13.348,11049
20090731,00:00:00,13.438,13.993,13.230,13.817,10627
20090802,00:00:00,13.877,14.066,13.741,13.985,954
20090803,00:00:00,14.035,14.476,13.848,14.250,11884
20090804,00:00:00,14.232,14.765,13.862,14.536,11250
20090805,00:00:00,14.518,14.818,14.356,14.602,11141
20090806,00:00:00,14.632,15.011,14.283,14.505,11747
20090807,00:00:00,14.494,14.898,14.327,14.580,10573
20090809,00:00:00,14.570,14.661,14.326,14.478,1249
20090810,00:00:00,14.472,14.725,14.137,14.270,12053
20090811,00:00:00,14.249,14.536,14.076,14.283,11511
20090812,00:00:00,14.300,14.622,13.968,14.511,11601
20090813,00:00:00,14.492,15.144,14.337,15.003,11906
20090814,00:00:00,15.029,15.233,14.454,14.650,11287
20090816,00:00:00,14.667,14.757,14.436,14.657,1076
20090817,00:00:00,14.560,14.681,13.656,13.936,12310
20090818,00:00:00,13.978,14.214,13.689,14.008,11955
20090819,00:00:00,13.976,14.173,13.353,13.942,12514
20090820,00:00:00,13.951,14.075,13.594,13.895,11770
